SortOrder,RoundNo,HomeTeam,AwayTeam,MatchDate,StartTime,EndTime,Location,Field #
40,10,NE-MAJ-01,BL-MAJ-01,8/6/2025,18:00,20:00,Magnuson Park,Field #10
41,1,Ballard 1,Ballard 2,7/7/2025,18:00,20:00,Gilman Playground,Field #2
42,1,Ballard 3,Ballard 4,7/7/2025,18:00,20:00,Loyal Heights,Field #1
43,1,Baseball-AAA-Orcas,Baseball-AAA-Porpoises,7/7/2025,18:00,20:00,Dahl Playfield,Field #4
44,1,Baseball-AAA-Sea Lions,Baseball-AAA-Whales,7/7/2025,18:00,20:00,Northacres Park,Field #2
45,1,NESLL 1,NESLL 2,7/7/2025,18:00,20:00,Magnuson Park,Field #10
46,1,NESLL 3,RUG 1,7/7/2025,18:00,20:00,Dahl Playfield,Field #1
47,1,RUG 2,RUG 3,7/7/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
48,1,QALL 1,QALL 2,7/7/2025,18:00,20:00,West Queen Anne Playfield,Field #3
49,2,Baseball-AAA-Porpoises,Ballard 2,7/9/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #4
50,2,Baseball-AAA-Whales,Ballard 3,7/9/2025,18:00,20:00,Ross Park Playfield,Lower Field
51,2,NESLL 2,Baseball-AAA-Orcas,7/10/2025,18:00,20:00,Dahl Playfield,Field #4
52,2,RUG 1,Baseball-AAA-Sea Lions,7/9/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
53,2,RUG 3,NESLL 1,7/9/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #2
54,2,QALL 2,NESLL 3,7/9/2025,18:00,20:00,Interbay,Field #1 South
55,2,QALL 1,RUG 2,7/9/2025,18:00,20:00,Interbay,Field #2 North
56,2,Ballard 4,Ballard 1,7/9/2025,18:00,20:00,Ballard Playground,Field #2
57,3,NESLL 2,Ballard 2,7/14/2025,18:00,20:00,Jane Addams Middle School,Field #1
58,3,Ballard 3,RUG 1,7/14/2025,18:00,20:00,Gilman Playground,Field #2
59,3,RUG 3,Baseball-AAA-Orcas,7/15/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
60,3,QALL 2,Baseball-AAA-Sea Lions,7/14/2025,18:00,20:00,West Queen Anne Playfield,Field #3
61,3,NESLL 1,QALL 1,7/14/2025,18:00,20:00,Magnuson Park,Field #10
62,3,NESLL 3,RUG 2,7/14/2025,18:00,20:00,View Ridge Playfield Park,Field #1
63,3,Ballard 1,Baseball-AAA-Porpoises,7/14/2025,18:00,20:00,Gilman Playground,Field #1
64,3,Baseball-AAA-Whales,Ballard 4,7/14/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
65,4,RUG 3,Ballard 2,7/16/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
66,4,QALL 2,Ballard 3,7/16/2025,18:00,20:00,Interbay,Field #1 South
67,4,QALL 1,Baseball-AAA-Orcas,7/16/2025,18:00,20:00,Interbay,Field #2 North
68,4,RUG 2,Baseball-AAA-Sea Lions,7/16/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #2
69,4,NESLL 3,NESLL 1,7/16/2025,18:00,20:00,Dahl Playfield,Field #1
70,4,Baseball-AAA-Whales,Ballard 1,7/17/2025,18:00,20:00,Ross Park Playfield,Lower Field
71,4,NESLL 2,Baseball-AAA-Porpoises,7/16/2025,18:00,20:00,Magnuson Park,Field #10
72,4,RUG 1,Ballard 4,7/17/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
73,5,Ballard 2,QALL 1,7/21/2025,18:00,20:00,Ballard Playground,Field #1
74,5,Ballard 3,RUG 2,7/21/2025,18:00,20:00,Ballard Playground,Field #2
75,5,Baseball-AAA-Orcas,NESLL 3,7/21/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #4
76,5,Baseball-AAA-Sea Lions,NESLL 1,7/21/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Fields #5
77,5,NESLL 2,Ballard 1,7/21/2025,18:00,20:00,Magnuson Park,Field #10
78,5,Baseball-AAA-Whales,RUG 1,7/21/2025,18:00,20:00,Ross Park Playfield,Lower Field
79,5,RUG 3,Baseball-AAA-Porpoises,7/21/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
80,5,QALL 2,Ballard 4,7/21/2025,18:00,20:00,West Queen Anne Playfield,Field #3
81,6,NESLL 3,Ballard 2,7/23/2025,18:00,20:00,Meadowbrook Playfield Park,Field 3
82,6,NESLL 1,Ballard 3,7/23/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
83,6,Baseball-AAA-Sea Lions,Baseball-AAA-Orcas,7/23/2025,18:00,20:00,Ross Park Playfield,Lower Field
84,6,RUG 1,Ballard 1,7/23/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
85,6,RUG 3,NESLL 2,7/23/2025,18:00,20:00,Magnuson Park,Field #9
86,6,QALL 2,Baseball-AAA-Whales,7/23/2025,18:00,20:00,West Queen Anne Playfield,Field #3
87,6,Baseball-AAA-Porpoises,QALL 1,7/24/2025,18:00,20:00,Ross Park Playfield,Lower Field
88,6,RUG 2,Ballard 4,7/23/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #2
89,7,Baseball-AAA-Sea Lions,Ballard 2,7/28/2025,18:00,20:00,Lower Woodland Ball Fields,Lower Woodland Ball Field #3
90,7,Baseball-AAA-Orcas,Ballard 3,7/28/2025,18:00,20:00,Ross Park Playfield,Lower Field
91,7,RUG 3,Ballard 1,7/28/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #1
92,7,QALL 2,RUG 1,7/28/2025,18:00,20:00,West Queen Anne Playfield,Field #3
93,7,NESLL 2,QALL 1,7/28/2025,18:00,20:00,Magnuson Park,Field #10
94,7,RUG 2,Baseball-AAA-Whales,7/28/2025,18:00,20:00,Maple Leaf Reservoir Park,Field #2
95,7,Baseball-AAA-Porpoises,NESLL 3,7/29/2025,18:00,20:00,Ross Park Playfield,Lower Field
